name,lon,lat
縣立大鵬國小,121.6509906 , 25.2087053
縣立大坪國小,121.638519 , 25.1675661
縣立萬里國小,121.688339 , 25.1761438
縣立崁腳國小,121.649687 , 25.160608
縣立野柳國小,121.689604 , 25.205496
縣立中角國小,121.6311403 , 25.2390122
縣立三和國小,121.602624 , 25.218896
縣立金美國小,121.6354702 , 25.2208886
縣立金山國小,121.63671 , 25.223766
縣立重慶國小,121.4625528 , 24.9945081
縣立板橋國小,121.458163 , 25.0109068
縣立大觀國小,121.4485488 , 25.0085073
縣立文德國小,121.4589117 , 25.0231793
縣立江翠國小,121.4740871 , 25.0323903
縣立莒光國小,121.4742879 , 25.025124
縣立國光國小,121.4528655 , 25.0189586
縣立溪洲國小,121.4309913 , 24.9872544
縣立中山國小,121.4478763 , 25.0022338
縣立文聖國小,121.47753 , 25.0291439
縣立後埔國小,121.4627041 , 25.0033354
縣立新埔國小,121.4625468 , 25.0259441
縣立信義國小,121.4525219 , 24.9916585
縣立實踐國小,121.4663774 , 25.0050543
縣立沙崙國小,121.4304648 , 24.9897891
縣立海山國小,121.4706944 , 25.0094628
縣立埔墘國小,121.4741924 , 25.0181344
縣立青山國小,121.6566042 , 25.0610605
縣立樟樹國小,121.6414273 , 25.0666308
縣立北峰國小,121.632479 , 25.0637137
縣立保長國小,121.681338 , 25.0718315
縣立秀峰國小,121.6614121 , 25.062854
縣立東山國小,121.6999821 , 25.060028
縣立崇德國小,121.669196 , 25.0695705
縣立汐止國小,121.6550414 , 25.0667321
縣立金龍國小,121.6271579 , 25.068803
縣立白雲國小,121.6186795 , 25.0477385
縣立北港國小,121.6455174 , 25.0893366
縣立長安國小,121.6708413 , 25.0793694
縣立深坑國小,121.6169144 , 25.0017044
縣立永定國小,121.68823 , 25.0083567
縣立雲海國小,121.636904 , 24.953072
縣立石碇國小,121.658846 , 24.990538
縣立和平國小,121.6418783 , 25.0114916
縣立侯硐國小,121.834032 , 25.092257
縣立九份國小,121.84338 , 25.106928
縣立義方國小,121.802402 , 25.113307
縣立瑞亭國小,121.777237 , 25.10259
縣立瓜山國小,121.8569325 , 25.1112777
縣立瑞柑國小,121.822971 , 25.109843
縣立吉慶國小,121.763825 , 25.100516
縣立濂洞國小,121.859808 , 25.122568
縣立瑞濱國小,121.8202376 , 25.1205551
縣立瑞芳國小,121.803911 , 25.107763
縣立鼻頭國小,121.919421 , 25.121211
縣立十分國小,121.777899 , 25.043775
縣立平溪國小,121.7377258 , 25.0274938
縣立菁桐國小,121.72697 , 25.02338
縣立柑林國小,121.804281 , 25.015367
縣立上林國小,121.832306 , 25.028948
縣立牡丹國小,121.851581 , 25.062513
縣立雙溪國小,121.867134 , 25.033465
縣立豐珠國小,121.901485 , 25.066097
縣立澳底國小,121.9246216 , 25.0548946
縣立和美國小,121.912883 , 25.083006
縣立貢寮國小,121.914926 , 25.021916
縣立福連國小,121.988533 , 25.0165099
縣立福隆國小,121.948161 , 25.0173964
縣立中正國小,121.5367212 , 24.9718639
縣立青潭國小,121.5522961 , 24.9529714
私立康橋國小,121.4966601 , 24.911437
縣立龜山國小,121.553549 , 24.902189
縣立安坑國小,121.5140702 , 24.9614542
縣立雙峰國小,121.5755222 , 24.951286
縣立新店國小,121.5402707 , 24.9530234
縣立新和國小,121.5181553 , 24.9846868
縣立雙城國小,121.4865797 , 24.9519922
縣立大豐國小,121.5382153 , 24.9775349
縣立直潭國小,121.531061 , 24.937692
縣立北新國小,121.5442651 , 24.9739035
縣立屈尺國小,121.546713 , 24.922052
縣立坪林國小,121.711106 , 24.936316
縣立烏來國小,121.554276 , 24.863361
縣立福山國小,121.502362 , 24.777478
縣立頂溪國小,121.5115823 , 25.0153646
私立竹林國小,121.5171886 , 25.0144756
縣立網溪國小,121.5193839 , 25.0129432
縣立永和國小,121.5168712 , 25.0035153
私立育才國小,121.521842 , 25.0066686
縣立永平國小,121.5056449 , 25.0078673
縣立秀朗國小,121.521146 , 24.9996417
私立及人國小,121.5119252 , 25.0156492
縣立景新國小,121.5149903 , 24.9893169
縣立積穗國小,121.4815431 , 24.9992574
縣立復興國小,121.5018454 , 24.9895532
縣立光復國小,121.4824083 , 25.0150293
縣立自強國小,121.4718173 , 24.9984398
縣立興南國小,121.5096111 , 24.9869134
縣立錦和國小,121.489607 , 24.9893961
縣立秀山國小,121.5208582 , 24.9943157
縣立中和國小,121.5014899 , 24.9998327
縣立安和國小,121.4649731 , 24.9889833
縣立頂埔國小,121.4145039 , 24.9560625
縣立廣福國小,121.4548549 , 24.9867372
縣立土城國小,121.4423867 , 24.971251
縣立樂利國小,121.4476487 , 24.9854931
縣立清水國小,121.4613672 , 24.9847599
縣立建安國小,121.446725 , 24.926391
縣立民義國小,121.3753924 , 24.911852
縣立中園國小,121.3670166 , 24.9278556
縣立五寮國小,121.360161 , 24.85861
縣立插角國小,121.4052103 , 24.8721957
縣立成福國小,121.4055482 , 24.9331837
縣立三峽國小,121.3696246 , 24.9345101
縣立安溪國小,121.3724406 , 24.9311066
縣立有木國小,121.4371768 , 24.8533806
縣立大成國小,121.4272436 , 24.9243536
縣立大埔國小,121.3664013 , 24.9055531
縣立介壽國小,121.3786359 , 24.9298835
縣立文林國小,121.4259652 , 24.9975819
縣立彭福國小,121.4237786 , 24.9814462
縣立育德國小,121.3923885 , 24.9708851
縣立大同國小,121.417824 , 24.981965
縣立育林國小,121.4157292 , 24.9857903
縣立柑園國小,121.3894168 , 24.9559459
縣立武林國小,121.414536 , 25.001966
縣立樹林國小,121.4178125 , 24.9896791
縣立桃子腳國小,121.3824892 , 24.9498183
縣立三多國小,121.406498 , 25.016823
縣立山佳國小,121.4019205 , 24.9753045
縣立鶯歌國小,121.3459163 , 24.9509551
縣立建國國小,121.3466567 , 24.9549183
縣立二橋國小,121.3375823 , 24.9408835
縣立永吉國小,121.3329799 , 24.9591803
縣立中湖國小,121.3479433 , 24.9730001
縣立昌福國小,121.3394111 , 24.955818
縣立鳳鳴國小,121.3348707 , 24.9691763
縣立三光國小,121.495867 , 25.055976
縣立光榮國小,121.5012617 , 25.0709118
縣立五華國小,121.4932707 , 25.0867045
縣立二重國小,121.4778456 , 25.0656779
縣立光興國小,121.4988744 , 25.0590597
縣立厚德國小,121.4886952 , 25.0718467
縣立三重國小,121.497846 , 25.070507
縣立集美國小,121.4879256 , 25.0565701
縣立興穀國小,121.4755421 , 25.050167
縣立正義國小,121.4960977 , 25.0646138
縣立碧華國小,121.4899513 , 25.0849884
縣立永福國小,121.4804479 , 25.0769981
縣立重陽國小,121.4839957 , 25.0668021
縣立修德國小,121.489788 , 25.0657356
縣立昌隆國小,121.4560226 , 25.0510524
縣立丹鳳國小,121.4138083 , 25.0241418
縣立頭前國小,121.4659738 , 25.0528828
縣立新莊國小,121.4558945 , 25.0369938
縣立新泰國小,121.4436689 , 25.0379104
縣立興化國小,121.4618416 , 25.0659676
縣立光華國小,121.425414 , 25.017666
縣立國泰國小,121.4417454 , 25.0340879
縣立中港國小,121.4471647 , 25.0451464
縣立中信國小,121.4480904 , 25.0562323
縣立榮富國小,121.4473723 , 25.0514712
縣立民安國小,121.427506 , 25.022151
縣立豐年國小,121.4433796 , 25.030978
縣立思賢國小,121.4567605 , 25.0457014
縣立昌平國小,121.4555785 , 25.0558537
縣立裕民國小,121.418487 , 25.021499
縣立義學國小,121.4309406 , 25.0522704
縣立泰山國小,121.4317 , 25.061512
縣立明志國小,121.4273819 , 25.045141
縣立同榮國小,121.4281415 , 25.0545174
縣立麗林國小,121.3681912 , 25.0687421
縣立瑞平國小,121.349481 , 25.128497
縣立林口國小,121.3897241 , 25.0807109
縣立興福國小,121.312598 , 25.112383
縣立南勢國小,121.3584178 , 25.0755524
縣立麗園國小,121.3762408 , 25.0685149
縣立嘉寶國小,121.339001 , 25.108385
縣立仁愛國小,121.4705226 , 25.0913353
縣立蘆洲國小,121.4700053 , 25.084149
縣立忠義國小,121.4639592 , 25.0893944
縣立鷺江國小,121.4759749 , 25.0843261
縣立成功國小,121.4573875 , 25.0858563
縣立五股國小,121.4374077 , 25.0828109
縣立德音國小,121.4345845 , 25.0714756
縣立成州國小,121.4507729 , 25.0997995
縣立更寮國小,121.4673659 , 25.0705425
縣立大崁國小,121.419518 , 25.1603401
私立聖心國小,121.4503523 , 25.1344601
縣立長坑國小,121.390083 , 25.125564
縣立八里國小,121.4029692 , 25.1492794
縣立米倉國小,121.445421 , 25.146374
縣立新興國小,121.4401188 , 25.1797593
縣立坪頂國小,121.4834597 , 25.1578548
縣立忠山國小,121.4799389 , 25.2003654
縣立天生國小,121.4245976 , 25.1814403
縣立淡水國小,121.4410349 , 25.1731052
縣立竹圍國小,121.4606865 , 25.1476414
縣立屯山國小,121.4562481 , 25.2373594
縣立水源國小,121.4765141 , 25.1858594
縣立育英國小,121.4448817 , 25.1971288
縣立鄧公國小,121.4486362 , 25.1715744
縣立中泰國小,121.484312 , 25.224514
縣立興仁國小,121.450886 , 25.217321
縣立文化國小,121.4373978 , 25.1740991
縣立三芝國小,121.5015019 , 25.2578416
