name,total,一般,英語文,自然科學,音樂,視覺藝術,體育一般
新北市三峽區北大國民小學,2,1,1,0,0,0,0
新北市林口區新林國民小學,11,10,0,0,0,0,0
新北市立青山國民中小學,2,1,0,0,0,0,0
新北市立桃子腳國民中小學,6,5,0,0,0,0,0
新北市立達觀國民中小學,7,5,1,0,1,0,0
新北市板橋區板橋國民小學,10,7,0,0,0,0,0
新北市板橋區國光國民小學,14,8,2,2,0,0,1
新北市板橋區新埔國民小學,2,1,0,0,0,0,0
新北市板橋區莒光國民小學,20,17,0,2,1,0,0
新北市板橋區後埔國民小學,16,9,2,1,1,1,0
新北市板橋區文聖國民小學,11,10,0,0,0,1,0
新北市板橋區沙崙國民小學,5,3,1,0,0,1,0
新北市板橋區文德國民小學,18,15,0,0,0,0,0
新北市樹林區樹林國民小學,10,7,0,0,1,1,0
新北市樹林區大同國民小學,3,1,1,0,0,0,0
新北市樹林區武林國民小學,4,3,0,0,0,0,0
新北市樹林區山佳國民小學,5,2,1,1,0,1,0
新北市樹林區育德國民小學,6,5,1,0,0,0,0
新北市鶯歌區二橋國民小學,9,5,1,1,1,1,0
新北市鶯歌區鳳鳴國民小學,5,3,1,0,1,0,0
新北市三峽區三峽國民小學,1,0,0,0,0,0,0
新北市中和區中和國民小學,3,1,0,0,0,0,0
新北市中和區復興國民小學,2,2,0,0,0,0,1
新北市中和區興南國民小學,13,7,2,1,0,1,0
新北市中和區秀山國民小學,3,2,0,0,0,1,0
新北市中和區積穗國民小學,11,5,2,3,0,0,0
新北市中和區自強國民小學,16,14,0,1,0,0,0
新北市中和區錦和國民小學,2,1,1,0,0,0,0
新北市中和區景新國民小學,1,1,0,0,0,0,0
新北市永和區永和國民小學,1,1,0,0,0,0,0
新北市永和區秀朗國民小學,19,18,0,0,0,0,1
新北市永和區頂溪國民小學,8,3,2,1,1,1,0
新北市永和區網溪國民小學,12,10,1,0,0,0,0
新北市土城區土城國民小學,11,10,0,0,0,0,0
新北市土城區清水國民小學,17,13,4,0,0,0,0
新北市土城區頂埔國民小學,4,2,0,1,1,0,0
新北市土城區廣福國民小學,10,7,0,2,1,0,0
新北市汐止區汐止國民小學,2,0,1,0,0,0,0
新北市汐止區長安國民小學,4,2,1,0,0,0,1
新北市汐止區北港國民小學,2,1,0,0,0,0,1
新北市汐止區北峰國民小學,11,11,0,0,0,0,1
新北市汐止區白雲國民小學,2,0,1,0,0,0,0
新北市新店區新店國民小學,2,2,0,0,0,0,0
新北市新店區大豐國民小學,6,4,0,0,1,0,0
